SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue,Date,Country
SRB,Europe,2001,SEX_BTSX,17.26893682,2025-01-28T14:13:24.673+01:00,Serbia
GUY,Americas,2004,SEX_FMLE,14.34909298,2025-01-28T14:13:24.673+01:00,Guyana
LBR,Africa,2010,SEX_MLE,13.20267818,2025-01-28T14:13:24.673+01:00,Liberia
HND,Americas,2012,SEX_BTSX,6.221777099,2025-01-28T14:13:24.673+01:00,Honduras
IRL,Europe,2019,SEX_MLE,11.17945807,2025-01-28T14:13:24.673+01:00,Ireland
LUX,Europe,2019,SEX_MLE,12.39020759,2025-01-28T14:13:24.673+01:00,Luxembourg
PAN,Americas,2021,SEX_FMLE,0.979497977,2025-01-28T14:13:24.673+01:00,Panama
COM,Africa,2009,SEX_MLE,12.27733656,2025-01-28T14:13:24.673+01:00,Comoros
LVA,Europe,2011,SEX_MLE,34.15949204,2025-01-28T14:13:24.673+01:00,Latvia
WB_LMI,,2017,SEX_FMLE,7.946590444,2025-01-28T14:13:24.673+01:00,not found
SWE,Europe,2021,SEX_MLE,16.22212849,2025-01-28T14:13:24.673+01:00,Sweden
FJI,Western Pacific,2018,SEX_BTSX,9.875232405,2025-01-28T14:13:24.673+01:00,Fiji
IND,South-East Asia,2014,SEX_MLE,18.39450212,2025-01-28T14:13:24.673+01:00,India
CAN,Americas,2010,SEX_MLE,16.42157134,2025-01-28T14:13:24.673+01:00,Canada
ECU,Americas,2006,SEX_FMLE,4.911562435,2025-01-28T14:13:24.673+01:00,Ecuador
MDG,Africa,2017,SEX_BTSX,9.980907815,2025-01-28T14:13:24.673+01:00,Madagascar
UGA,Africa,2020,SEX_MLE,19.17422973,2025-01-28T14:13:24.673+01:00,Uganda
LKA,South-East Asia,2005,SEX_FMLE,9.650364231,2025-01-28T14:13:24.673+01:00,Sri Lanka
NZL,Western Pacific,2002,SEX_MLE,18.62101741,2025-01-28T14:13:24.673+01:00,New Zealand
TUN,Eastern Mediterranean,2021,SEX_FMLE,1.188744177,2025-01-28T14:13:24.673+01:00,Tunisia
OMN,Eastern Mediterranean,2010,SEX_FMLE,0.418894759,2025-01-28T14:13:24.673+01:00,Oman
ZAF,Africa,2016,SEX_MLE,31.68513527,2025-01-28T14:13:24.673+01:00,South Africa
SLB,Western Pacific,2015,SEX_BTSX,23.61348518,2025-01-28T14:13:24.673+01:00,Solomon Islands
ZMB,Africa,2014,SEX_BTSX,11.13279343,2025-01-28T14:13:24.673+01:00,Zambia
ARG,Americas,2004,SEX_BTSX,8.666014526,2025-01-28T14:13:24.673+01:00,Argentina
JPN,Western Pacific,2001,SEX_MLE,26.04368193,2025-01-28T14:13:24.673+01:00,Japan
GAB,Africa,2000,SEX_BTSX,13.66146542,2025-01-28T14:13:24.673+01:00,Gabon
GRC,Europe,2011,SEX_FMLE,1.307912684,2025-01-28T14:13:24.673+01:00,Greece
IRQ,Eastern Mediterranean,2020,SEX_FMLE,1.581927572,2025-01-28T14:13:24.673+01:00,Iraq
ESP,Europe,2007,SEX_BTSX,5.448529455,2025-01-28T14:13:24.673+01:00,Spain
CYP,Europe,2012,SEX_MLE,9.432686865,2025-01-28T14:13:24.673+01:00,Cyprus
SRB,Europe,2020,SEX_BTSX,9.678185808,2025-01-28T14:13:24.673+01:00,Serbia
MMR,South-East Asia,2021,SEX_FMLE,1.008591849,2025-01-28T14:13:24.673+01:00,Myanmar
WB_UMI,,2005,SEX_BTSX,11.19726856,2025-01-28T14:13:24.673+01:00,not found
NOR,Europe,2004,SEX_FMLE,7.017261469,2025-01-28T14:13:24.673+01:00,Norway
ZMB,Africa,2018,SEX_BTSX,10.59139266,2025-01-28T14:13:24.673+01:00,Zambia
SWZ,Africa,2010,SEX_BTSX,35.48836497,2025-01-28T14:13:24.673+01:00,Eswatini
ISR,Europe,2008,SEX_MLE,8.796788687,2025-01-28T14:13:24.673+01:00,Israel
IDN,South-East Asia,2020,SEX_MLE,1.999416079,2025-01-28T14:13:24.673+01:00,Indonesia
LBR,Africa,2018,SEX_MLE,12.86463093,2025-01-28T14:13:24.673+01:00,Liberia
KIR,Western Pacific,2005,SEX_FMLE,6.22586547,2025-01-28T14:13:24.673+01:00,Kiribati
BDI,Africa,2002,SEX_FMLE,11.21776484,2025-01-28T14:13:24.673+01:00,Burundi
AMR,,2001,SEX_FMLE,3.335339091,2025-01-28T14:13:24.673+01:00,not found
